Año,Nombre,Disciplina,Tipo de prueba ,Unidad de Medida,Marca,Posición,Total de competidores,"Récord (SB, PB)",Fecha de naciemiento,Edad ,"Instancia (clasificación, semifinal, final)"
,,Marcha mixta,Pruebas mixtas,Puntaje,,,,,,,
,,,,,,,,,,,
2015,,100 m,velocidad,tiempo,,,,,,,
,,200 m,velocidad,tiempo,,,,,,,
,,200 m ,velocidad,tiempo,,,,,,,
,,400 m,velocidad,tiempo,,,,,,,
,,800 m ,Mediofondo,tiempo,,,,,,,
,DIAZ Carlos,1.500 m,Mediofondo,tiempo,00:03:42.09,4,15,,9/07/1993,,final
,LOPEZ Ivan,1.500 m,Mediofondo,tiempo,00:03:48.54,10,15,,10/3/1990,,final
,ARAVENA Victor Anibal,5.000 m  ,Fondo,tiempo,00:13:46.94,3,16,PB,5/02/1990,,final
,DIAZ Carlos,5.000 m  ,Fondo,tiempo,00:13:59.66,9,16,,9/07/1993,,final
,ENCINA Leslie,10.000 m,Fondo,tiempo,00:30:30.12,8,14,,2/1/1982,,final
,ECHEVERRIA Roberto,Maratón,Fondo,tiempo,DNF,,18,,23/02/1976,,final
,GUAJARDO Cristopher,110 m vallas,Vallas / obstáculos,tiempo,DNF,,18,,7/4/1988,,final
,SEPULVEDA Alfredo,400 m vallas,Vallas / obstáculos,tiempo,00:00:52.32,6,8,,3/8/1993,,clasificación
,VALDIVIA Mauricio,3.000 m con obstáculos,Vallas / obstáculos,tiempo,00:08:52.72,5,13,,11/10/1989,,final
,YAÑEZ Enzo,3.000 m con obstáculos,Vallas / obstáculos,tiempo,00:09:07.75,9,13,,13/9/1985,,final
,BOCCARDO Franco,4 × 100 m,Relevos,tiempo,00:00:40.14,6,6,,,,semifinal
,REYES Cristian,4 × 100 m,Relevos,tiempo,00:00:40.14,6,6,,,,semifinal
,POLANCO Enrique,4 × 100 m,Relevos,tiempo,00:00:40.14,6,6,,,,semifinal
,VALDIVIA Sebastian,4 × 100 m,Relevos,tiempo,00:00:40.14,6,6,,,,semifinal
,GERMAIN Sergio,4 × 400 m,Relevos,tiempo,00:03:09.89,5,6,SB,,,semifinal
,ALDEA Sergio,4 × 400 m,Relevos,tiempo,00:03:09.89,5,6,SB,,,semifinal
,TAGLE Martin,4 × 400 m,Relevos,tiempo,00:03:09.89,5,6,SB,,,semifinal
,SEPULVEDA Alfredo,4 × 400 m,Relevos,tiempo,00:03:09.89,5,6,SB,,,semifinal
,ARAYA Yerko,20 km marcha,Marcha,tiempo,DQ,,15,,14/2/1986,,final
,ARAYA Edward,50 km marcha,Marcha,tiempo,DQ,,14,,14/2/1986,,final
,,salto de altura,Saltos,distancia (m),,,,,,,
,CHIARAVIGLIO German,salto con garrocha,Saltos,distancia (m),"5,75",2,9,PB,16/4/1987,,final
,ZUPEUC Daniel,salto con garrocha,Saltos,distancia (m),NM,,9,,25/1/1994,,final
,PINEDA Daniel,salto largo,Saltos,distancia (m),"7,46",7,9,,19/9/1985,,final
,PETERSEN Alvaro,salto triple,Saltos,distancia (m),"16,16",8,14,,27/10/1995,,final
,,Peso,Lanzamientos,distancia (m),,,,,,,
,MANSILLA Humberto,disco,Lanzamientos,distancia (m),"66,14",10,10,,22/05/1996,,final
,,martillo,Lanzamientos,distancia (m),,,,,,,
,,jabalina,Lanzamientos,distancia (m),,,,,,,
,,Decatlón,Pruebas combinadas,Puntaje,,,,,,,
,,Relevo mixto 4 × 400 m,Pruebas mixtas,Puntaje,,,,,,,
,,Marcha mixta,Pruebas mixtas,Puntaje,,,,,,,
,,,,,,,,,,,
2019,POLANCO VALDÉS Enrique,100 m,velocidad,tiempo,,,,,,,
,,200 m ,velocidad,tiempo,,,,,,,
,,400 m,velocidad,tiempo,,,,,,,
,,800 m ,Mediofondo,tiempo,,,,,,,
,,1.500 m,Mediofondo,tiempo,,,,,,,
,,5.000 m  ,Fondo,tiempo,,,,,,,
,,10.000 m,Fondo,tiempo,,,,,,,
,,Maratón,Fondo,tiempo,,,,,,,
,,110 m vallas,Vallas / obstáculos,tiempo,,,,,,,
,,400 m vallas,Vallas / obstáculos,tiempo,,,,,,,
,,3.000 m con obstáculos,Vallas / obstáculos,tiempo,,,,,,,
,,4 × 100 m,Relevos,tiempo,,,,,,,
,,4 × 400 m,Relevos,tiempo,,,,,,,
,,20 km marcha,Marcha,tiempo,,,,,,,
,,salto de altura,Saltos,distancia (m),,,,,,,
,,salto con garrocha,Saltos,distancia (m),,,,,,,
,,salto largo,Saltos,distancia (m),,,,,,,
,,salto triple,Saltos,distancia (m),,,,,,,
,,Peso,Lanzamientos,distancia (m),,,,,,,
,,disco,Lanzamientos,distancia (m),,,,,,,
,,martillo,Lanzamientos,distancia (m),,,,,,,
,,jabalina,Lanzamientos,distancia (m),,,,,,,
,,Decatlón,Pruebas combinadas,Puntaje,,,,,,,
,,Relevo mixto 4 × 400 m,Pruebas mixtas,Puntaje,,,,,,,
