gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,,HEAT,3.0,2,Fernando Salinas Acuna,Chile,11.1,,,"Buenos Aires, Argentina",,
Men,,HEAT,4.0,4,Leonel Contreras,Chile,11.5,,,"Buenos Aires, Argentina",,
Men,,HEAT,5.0,4,Rodolfo L ópez Neira,Chile,,,,"Buenos Aires, Argentina",,
Men,,HEAT,2.0,1,Fernando Salinas Acuna,Chile,10.9,,,"Buenos Aires, Argentina",,
Men,100 METRES,,,5,Fernando Salinas Acuna,Chile,11.1,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,2.0,3,Gustavo Ehlers Trostel,Chile,22.5,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,3.0,2,Leonel Contreras,Chile,23.3,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,1.0,4,Gustavo Ehlers Trostel,Chile,22.9,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,2.0,5,Leonel Contreras,Chile,,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,1.0,3,Ram ón Sandoval,Chile,50.7,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,2.0,2,Gustavo Ehlers Trostel,Chile,57.4,,,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,4.0,2,Jaime Hitelman Reitich,Chile,50.6,,,"Buenos Aires, Argentina",,
Men,400 METRES,HEAT,1.0,3,Gustavo Ehlers Trostel,Chile,48.9,,3 Mar,"Buenos Aires, Argentina",,
Men,400 METRES,HEAT,1.0,6,Ram ón Sandoval,Chile,,,3 Mar,"Buenos Aires, Argentina",,
Men,400 METRES,HEAT,2.0,4,Jaime Hitelman Reitich,Chile,49.5,,3 Mar,"Buenos Aires, Argentina",,
Men,400 METRES,FINAL,,6,Gustavo Ehlers Trostel,Chile,49.4,,4 Mar,"Buenos Aires, Argentina",,
Men,800 METRES,HEAT,1.0,2,Guillermo Sol á Aravena,Chile,4:08.9,,1 Mar,"Buenos Aires, Argentina",,
Men,800 METRES,HEAT,2.0,6,Haroldo Gallardo Monsalves,Chile,,,1 Mar,"Buenos Aires, Argentina",,
Men,"1,500 METRES",FINAL,,2,Guillermo Sol á Aravena,Chile,4:00.5,,5 Mar,"Buenos Aires, Argentina",,
Men,"1,500 METRES",FINAL,,3,Gustavo Rojas Rodriguez,Chile,15:06.4,,5 Mar,"Buenos Aires, Argentina",,
Men,"1,500 METRES",FINAL,,5,Raúl Inostroza Donoso,Chile,,,5 Mar,"Buenos Aires, Argentina",,
Men,"1,500 METRES",FINAL,,5,Enrique Inostroza Aranciba,Chile,2:53:01.0,,5 Mar,"Buenos Aires, Argentina",,
Men,"1,500 METRES",FINAL,,6,David Penden Gajardo,Chile,2:53:58.3,,5 Mar,"Buenos Aires, Argentina",,
Men,"1,500 METRES",HEAT,2.0,3,Jorn Gevert,Chile,15.4,,5 Mar,"Buenos Aires, Argentina",,
Men,110 METRES HURDLES,HEAT,1.0,2,Reinaldo Martin Muller,Chile,54.3,,3 Mar,"Buenos Aires, Argentina",,
Men,110 METRES HURDLES,HEAT,2.0,3,Jorn Gevert,Chile,55.4,,3 Mar,"Buenos Aires, Argentina",,
Men,110 METRES HURDLES,HEAT,3.0,4,Udo Martin Huber Chile No Tim e,,,,3 Mar,"Buenos Aires, Argentina",,
Men,400 METRES HURDLES,FINAL,,4,Reinaldo Mar tin Muller,Chile,55.2,,28 Feb,"Buenos Aires, Argentina",,
Men,400 METRES HURDLES,FINAL,,5,Guillermo Sol á Aravena,Chile,10:10.3,,28 Feb,"Buenos Aires, Argentina",,
Men,400 METRES HURDLES,HEAT,1.0,4,Chile,,,,28 Feb,"Buenos Aires, Argentina",,
Men,4x100 METRES RELAY,,,4,Chile,Chile,42.3,,6 Mar,"Buenos Aires, Argentina",L.Contreras; R.Lopez; G.Ehlers; F.Salinas,
