gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,4x100 METRES RELAY,FINAL,,2,Chile,Chile,3:17.7,,6 Mar,"Buenos Aires, Argentina",Jaime Hitelman Reitich; Jorn Gevert; Reinaldo Martin Muller; Gustavo Ehlers Trostel,
Men,4x100 METRES RELAY,FINAL,,6,Paraguay Fermin Villalba,"Paraguay Fermin Villalba,Anastasio Zelaya, Rubén Figueredo,Jos é Zelaya del Pilar NON -PARTICIPANTS Argentina Guillermo Evans Chile Ramon Sandov al Cuba Juan Saez Mexico Vicente Tavarez Chavez Paraguay Celso Gonzalez Brinzuela,Osc ar Corvalan Pan-American Games, Buenos A ires 1951 -",11,,6 Mar,"Buenos Aires, Argentina",- 10; 000 METRES WALK (6 Mar ),
Men,4x100 METRES RELAY,FINAL,,=4,Ernesto Lagos Salinas Chile,Ernesto Lagos Salinas Chile,1,,6 Mar,"Buenos Aires, Argentina",.85m,
Men,4x100 METRES RELAY,FINAL,,6,Carlos Puebla Maturana Chile,Carlos Puebla Maturana Chile,1,,6 Mar,"Buenos Aires, Argentina",.80m,
Men,4x100 METRES RELAY,FINAL,,12,Teodoro Gabriawez Paraguay,Teodoro Gabriawez Paraguay,1,,6 Mar,"Buenos Aires, Argentina",.70m Antonio Barrionuevo Argentina DNComp Carlos Vera Guardia Chile DNComp Juan Puga Peru DNComp Mirco Cuculiza Peru DNComp Jaime Piqueras Sanchez Peru DNComp POLE VAULT (1 Mar ),
Men,4x100 METRES RELAY,FINAL,,9,Carlos Vera Guardia Chile,Carlos Vera Guardia Chile,3,,6 Mar,"Buenos Aires, Argentina",.50m Pan-American Games; Buenos A ires 1951 - 12 - LONG JUMP (28 Feb ),
Men,4x100 METRES RELAY,FINAL,,6,Alberto Eggeling Pots Chile,Alberto Eggeling Pots Chile,6,,6 Mar,"Buenos Aires, Argentina",.87m,
Men,4x100 METRES RELAY,FINAL,,7,Carlos Vera Guardia Chile,Carlos Vera Guardia Chile,6,,6 Mar,"Buenos Aires, Argentina",.47m,
Men,4x100 METRES RELAY,FINAL,,8,Udo Martin Huber Chile,Udo Martin Huber Chile,13,,6 Mar,"Buenos Aires, Argentina",.68m,
Men,4x100 METRES RELAY,FINAL,,10,Carlos Puebla Maturana Chile,Carlos Puebla Maturana Chile,13,,6 Mar,"Buenos Aires, Argentina",.58m,
Men,4x100 METRES RELAY,FINAL,,11,James Holland USA,James Holland USA,13,,6 Mar,"Buenos Aires, Argentina",.21m Carlos Vera Guardia Chile DNComp SHOT PUT (2 Mar ),
Men,4x100 METRES RELAY,FINAL,,7,Mauricio Rodriguez Venezuela,Mauricio Rodriguez Venezuela,11,,6 Mar,"Buenos Aires, Argentina",.97m Richard Doyle USA DNComp Hernan Figueroa Bueg Chile DNComp DISCUS THROW (1 Mar ),
Men,4x100 METRES RELAY,FINAL,,4,Hern án Haddad Abdala Chile,Hern án Haddad Abdala Chile,44,,6 Mar,"Buenos Aires, Argentina",.20m,
Men,4x100 METRES RELAY,FINAL,,7,Karsten Brodersen Chile,Karsten Brodersen Chile,42,,6 Mar,"Buenos Aires, Argentina",.20m,
Men,4x100 METRES RELAY,FINAL,,3,Arturo Me lchor Borquez Chile,Arturo Me lchor Borquez Chile,45,,6 Mar,"Buenos Aires, Argentina",.70m,
Men,4x100 METRES RELAY,FINAL,,5,Hern an Ortiz Molina Paraguay,Hern an Ortiz Molina Paraguay,46,,6 Mar,"Buenos Aires, Argentina",.89m Armin Nevermann Radejens Chile DNComp DECATHLON (4/5 Mar ),
Men,4x100 METRES RELAY,FINAL,,1,Hern án Figueroa Bueg Chile,Hern án Figueroa Bueg Chile,6,,6 Mar,"Buenos Aires, Argentina",610 (6; 261) (11.3; 6.78m; 13.33m; 1.70m; 53.1; 16.6; 36.40m; 3.30m; 53.01m; 5 :00.6),
Men,4x100 METRES RELAY,HEAT,1.0,1,Adriana Millard Pacheco Chile,Adriana Millard Pacheco Chile,12.7,,6 Mar,"Buenos Aires, Argentina",,
Men,4x100 METRES RELAY,HEAT,2.0,2,Beatriz Kretschmer de Buccicardi Chile,Beatriz Kretschmer de Buccicardi Chile,12.8,,6 Mar,"Buenos Aires, Argentina",,
Men,4x100 METRES RELAY,HEAT,4.0,5,Eliana Gaete Lazo Chile,Eliana Gaete Lazo Chile,,,6 Mar,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,1.0,2,Adriana Millard Pacheco,Chile,12.8,,1 Mar,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,1.0,5,Beatriz K retschmer de Buccicardi,Chile,13.0,,1 Mar,"Buenos Aires, Argentina",,
Men,100 METRES,FINAL,,5,Adriana Millard Pacheco,Chile,12.8,,1 Mar,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,2.0,3,Adriana Millard Pacheco,Chile,28.0,,1 Mar,"Buenos Aires, Argentina",,
Men,100 METRES,HEAT,3.0,1,Beatriz Kretschmer de Buccicardi,Chile,27.1,,1 Mar,"Buenos Aires, Argentina",,
Men,200 METRES,HEAT,1.0,2,Adriana Millard Pacheco,Chile,26.4,,4 Mar,"Buenos Aires, Argentina",,
Men,200 METRES,HEAT,2.0,2,Beatriz Kretschmer de Bucc icardi,Chile,26.7,,4 Mar,"Buenos Aires, Argentina",,
Men,200 METRES,FINAL,,3,Adriana Millard Pacheco,Chile,26.1,,5 Mar,"Buenos Aires, Argentina",,
Men,200 METRES,FINAL,,4,Beatriz Kretschmer de Buccicardi,Chile,26.7,,5 Mar,"Buenos Aires, Argentina",,
Men,200 METRES,HEAT,1.0,1,Eliana Gaete Lazo,Chile,11.6,,5 Mar,"Buenos Aires, Argentina",,
Men,200 METRES,HEAT,3.0,1,Marion Huber von Appen,Chile,12.0,,5 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,1,Eliana Gaete Lazo,Chile,11.9,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,2,Marion Huber von Appen,Chile,12.0,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,2,Chile,,,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,2,Lucy L ópez Cruz,Chile,1.45m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,1,Beatriz Kretschmer de Buccicardi,Chile,5.42m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,2,Lisa Peters Teubner,Chile,5.20m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,7,Ursula Holle de Reheren,Chile,10.08m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,10,Leni de Freese,Chile,9.91m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,11,Daysi Hoffman Roman,Chile,9.51m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,4,Daysi Hoffman Roman,Chile,35.49m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,6,Leni de Freese,Chile,33.40m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,10,Maria Boecke de Keitel,Chile,30.64m,,3 Mar,"Buenos Aires, Argentina",,
Men,80 METRES HURDLES,FINAL,,4,Ursula Holle de Reheren,Chile,35.26m,,3 Mar,"Buenos Aires, Argentina",,
