gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,100 METRES,HEAT,3,7,Ricardo Roach González,Chile,10.69,,,"Winnipeg, Canada",,
Men,200 METRES,HEAT,2,2,Sebastian Keitel Bianchi,Chile,20.44,,25 Jul,"Winnipeg, Canada",,
Men,200 METRES,FINAL,,3,Sebastian Keitel Bianchi,Chile,20.82,,28 Jul,"Winnipeg, Canada",,
Men,"1,500 METRES",FINAL,,7,Mauricio Diaz Castro,Chile,13:53.55,,30 Jul,"Winnipeg, Canada",,
Men,"10,000 METRES",FINAL,,7,Mauricio Diaz Castro,Chile,29:20.56,,27 Jul,"Winnipeg, Canada",,
Men,110 METRES HURDLES,HEAT,1,4,Carlos Zbinden Brito,Chile,50.26,,29 Jul,"Winnipeg, Canada",,
Men,HIGH JUMP,,,11,Felipe Apablaza Garcia,Chile,2.10m,,29 Jul,"Winnipeg, Canada",,
Men,TRIPLE JUMP,,,6,Marco Verni Lippi,Chile,16.65m,,29 Jul,"Winnipeg, Canada",,
Men,DISCUS THROW,,,11,Juan Andres Solo,Chile,50.35m,,28 Jul,"Winnipeg, Canada",,
