gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,100 METRES,HEAT,2.0,7,Enrique Polanco Valdés,Chile,10.69,,,"Lima, Peru",,
Men,800 METRES,HEAT,1.0,4,Alejandro Peirano López,Chile,1:49.99,,9 Aug,"Lima, Peru",,
Men,800 METRES,HEAT,2.0,5,Rafael Muñoz Núñez,Chile,1:50.03,,9 Aug,"Lima, Peru",,
Men,"1.500 METRES",FINAL,,12,Carlos Díaz del Río,Chile,3:49.33,,8 Aug,"Lima, Peru",,
Men,"5.000 METRES",FINAL,,3,Carlos Díaz del Río,Chile,13:54.43,,6 Aug,"Lima, Peru",,
Men,400 METRES HURDLES,HEAT,2.0,6,Alfredo Sepúlveda Sandoval,Chile,52.77,,6 Aug,"Lima, Peru",,
Men,"3.000 METRES STEEPLECHASE",FINAL,,10,Roberto Tello Bolvarán,Chile,9:06.33,,10 Aug,"Lima, Peru",,
Men,20KM WALK,,,11,Yerko Araya Cortés,Chile,1:28:06,,4 Aug,"Lima, Peru",,
Men,LONG JUMP,,,13,Daniel Pineda Contreras,Chile,7.05m (+0.2m),,7 Aug,"Lima, Peru",,
Men,SHOT PUT,,,11,Santiago Basso Hughes,Chile,18.38m,,7 Aug,"Lima, Peru",,
Men,HAMMER THROW,,,1,Gabriel Kehr Sabra,Chile,74.98m,,8 Aug,"Lima, Peru",,
Men,HAMMER THROW,,,2,Humberto Mansilla Arzola,Chile,74.38m,,8 Aug,"Lima, Peru",,
Men,JAVELIN THROW,,,9,Francisco Muse Mehech,Chile,72.84m,,10 Aug,"Lima, Peru",,
