gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,100 METRES,HEAT,4.0,6,Eduardo Krumm,Chile,23.4,,29 Aug,"Chicago, USA",,
Men,200 METRES,HEAT,1.0,5,Hugo Krauss,Chile,50.3,,31 Aug,"Chicago, USA",,
Men,400 METRES,HEAT,1.0,5,Julio Le ón,Chile,1:55.5,,31 Aug,"Chicago, USA",,
Men,400 METRES,HEAT,2.0,3,Hugo Krauss,Chile,1:55.0,,31 Aug,"Chicago, USA",,
Men,400 METRES,HEAT,3.0,3,Ramon Sandoval,Chile,1:54.3,,31 Aug,"Chicago, USA",,
Men,800 METRES,HEAT,1.0,6,Hugo Krauss,Chile,1:53.5,,29 Aug,"Chicago, USA",,
Men,800 METRES,HEAT,1.0,8,Julio Le ón,Chile,,,29 Aug,"Chicago, USA",,
Men,800 METRES,HEAT,2.0,6,Ramón Sandoval,Chile,1:55.0,,29 Aug,"Chicago, USA",,
Men,800 METRES,HEAT,1.0,4,Ricardo Vidal,Chile,4:00.7,,30 Aug,"Chicago, USA",,
Men,800 METRES,HEAT,2.0,2,Ramón Sandova l,Chile,3:59.6,,30 Aug,"Chicago, USA",,
Men,"1,500 METRES",FINAL,,4,Ramón Sandoval,Chile,3:51.9,,2 Sep,"Chicago, USA",,
Men,"1,500 METRES",FINAL,,9,Ricardo Vidal,Chile,,,2 Sep,"Chicago, USA",,
Men,"1,500 METRES",FINAL,,8,Ricardo Vidal,Chile,,,2 Sep,"Chicago, USA",,
Men,"1,500 METRES",FINAL,,7,Ricardo Vidal,Chile,31:35.7,,2 Sep,"Chicago, USA",,
Men,"1,500 METRES",FINAL,,5,Juan Silva,Chile,2:42:34.6,,2 Sep,"Chicago, USA",,
Men,400 METRES HURDLES,FINAL,,7,Francisco Allen,Chile,,,29 Aug,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,10,Juan Ruiz Chile,Juan Ruiz Chile,1.80m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,=8,José Infante Chile,José Infante Chile,3.80m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,8,Carlos Vera Guardia Chile,Carlos Vera Guardia Chile,6.87m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,11,Eduardo Krumm Chile,Eduardo Krumm Chile,6.33m,did-not-compete,2 Sep,"Chicago, USA",Carlos Tornquist Chile 3 Fouls Adhemar Ferreira da Silva Brazil  Jack Smyth Canada DNComp Roland Romain Haiti DNComp Clive Bonas Si mmons Venezuela DNComp TRIPLE JUMP (2 Sep ),
Men,4x400 METRES RELAY,FINAL,,10,Ariel Standen Chile,Ariel Standen Chile,14.33m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,11,Carlos Vera Guardia Chile,Carlos Vera Guardia Chile,13.98m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,8,Leonardo Kittsteiner Chile,Leonardo Kittsteiner Chile,14.65m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,5,Hernán Haddad Abdala Chile,Hern án Haddad Abdala Chile,46.45,,2 Sep,"Chicago, USA",m,
Men,4x400 METRES RELAY,FINAL,,7,Alejandro Diaz Chile,Alejandro Diaz Chile,51.34m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,4,Juris Lai penieks Chile,Juris Lai penieks Chile,59.88m,,2 Sep,"Chicago, USA",,
Men,4x400 METRES RELAY,FINAL,,6,Juris Laipenieks Chile,Juris Laipenieks Chile,"5,472 (5,931)",,2 Sep,"Chicago, USA",(11.7; 6.73m; 13.24m; 1.65m; 53.4; 1 7.5; 40. 67m; 2.90m; 54.96m; 5 :01.5),

