gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,100 METRES,HEAT,2,4,Carlos Moreno Lira,Chile,10.66,,,"Havana, Cuba",,
Men,100 METRES,HEAT,1,6,Carlos Morales Herrera,Chile,21.67,,5 Aug,"Havana, Cuba",,
Men,100 METRES,HEAT,3,5,Carlos Moreno Lir a,Chile,21.36,,5 Aug,"Havana, Cuba",,
Men,200 METRES,HEAT,3,3,Carlos Morale s Herrera,Chile,47.00,,8 Aug,"Havana, Cuba",,
Men,400 METRES,HEAT,3,2,Pablo Squella Serrano,Chile,1:48.13,,5 Aug,"Havana, Cuba",,
Men,800 METRES,FINAL,,4,Pablo Squella Serrano,Chile,1:47.59,,8 Aug,"Havana, Cuba",,
Men,POLE VAULT,,,7,Cristian Aspillaga,Chile,4.70m,,8 Aug,"Havana, Cuba",,
Men,SHOT PUT,,,1,Gert Weil Wiesenborn,Chile,19.47m,,8 Aug,"Havana, Cuba",,
Men,JAVELIN THROW,,,7,Rodrigo Zelaya Perez,Chile,70.86m,,5 Aug,"Havana, Cuba",,
Men,JAVELIN THROW,,,12,Gustavo Wielandt Arrau,Chile,64.36m,,5 Aug,"Havana, Cuba",,

