gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,400 METRES,HEAT,3,4,Mauricio Mery,Chile,46.92,,8 Aug,"Santo Domingo, Dominican Republic",,
Men,"5,000 METRES",FINAL,,5,Mauricio Diaz Castro,Chile,13:58.85,,5 Aug,"Santo Domingo, Dominican Republic",,
Men,20KM WALK,,,6,Cristián Muñoz,Chile,1:31:07,,5 Aug,"Santo Domingo, Dominican Republic",,
Men,POLE VAULT,,,7,José Nava,Chile,5.20m,,8 Aug,"Santo Domingo, Dominican Republic",,
Men,POLE VAULT,,,10,Jorge Naranjo,Chile,4.80m,,8 Aug,"Santo Domingo, Dominican Republic",,
Men, SHOT PUT, , , 2, Marco Verni Lippi, Chile, 20.14m,,9 Aug,"Santo Domingo, Dominican Republic",,
Men,JAVELIN THROW,,,7,Diego Moraga,Chile,71.79m,,6 Aug,"Santo Domingo, Dominican Republic",,
