gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,"1,500 METRES",FINAL,,4,Carlos Díaz,Chile,3:42.09,,24 Jul,"Toronto, Canada",,
Men,"1,500 METRES",FINAL,,10,Iván López,Chile,3:48.54,,24 Jul,"Toronto, Canada",,
Men,"5,000 METRES",FINAL,,3,Victor Aravena,Chile,13:46.94,,25 Jul,"Toronto, Canada",,
Men,"5,000 METRES",FINAL,,9,Carlos Díaz,Chile,13:59.66,,25 Jul,"Toronto, Canada",,
Men,"10,000 METRES",FINAL,,8,Leslie Encina,Chile,30:30.12,,21 Jul,"Toronto, Canada",,
Men,400 METRES HURDLES,HEAT,1.0,6,Alfredo Sepúlveda,Chile,52.32,,24 Jul,"Toronto, Canada",,
Men,"3,000 METRES STEEPLECHASE",FINAL,,5,Mauricio Valdivia,Chile,8:52.72,,21 Jul,"Toronto, Canada",,
Men,"3,000 METRES STEEPLECHASE",FINAL,,9,Enzo Yáñez,Chile,9:07.75,,21 Jul,"Toronto, Canada",,
Men,4x100 METRES RELAY,HEAT,1.0,6,,Chile,40.14,,24 Jul,"Toronto, Canada",Franco Boccardo; Cristian Reyes; Enrique Polanco; Sebastián Valdivia,
Men,4x400 METRES RELAY,HEAT,1.0,5,,Chile,3:09.89,disqualified,24 Jul,"Toronto, Canada",Sergio Germain; Sergio Aldea Avilés; Martín Tagle; Alfredo Sepúlveda,
Men,LONG JUMP,,,11,Daniel Pineda,Chile,7.46m (+3.0m),,21 Jul,"Toronto, Canada",,
Men,TRIPLE JUMP,,,8,Álvaro Petersen,Chile,16.16m (+1.0m),,24 Jul,"Toronto, Canada",,
Men,HAMMER THROW,,,10,Humberto Mansilla,Chile,66.14m,,22 Jul,"Toronto, Canada",,
