gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,100 METRES,HEAT,3,1,Sebastian Keitel Bianchi,Chile,20.53,,18 Mar,"Mar del Plata, Argentina",,
Men,100 METRES,HEAT,1,2,Sebastien Keitel Bianchi,Chile,20.38,,18 Mar,"Mar del Plata, Argentina",,
Men,200 METRES,FINAL,,3,Sebastien Keitel Bianchi,Chile,20.55,,22 Mar,"Mar del Plata, Argentina",,
Men,800 METRES,HEAT,1,4,Arturo Rodriguez W ichm,Chile,14.56,,24 Mar,"Mar del Plata, Argentina",,
Men,110 METRES HURDLES,non-participants,,,Cristian Aspillaga Finlay Chile,Trinidad and Tobago,,non-participant,21 Mar,"Mar del Plata, Argentina",,
Men,110 METRES HURDLES,non-participants,,,Gert Weil,Chile,,,non-participant,21 Mar,"Mar del Plata, Argentina",,
Men,110 METRES HURDLES,non-participants,,,Rodrigo Zelaya Perez Chile,Trinidad and Tobago,,non-participant,21 Mar,"Mar del Plata, Argentina",,
