gender,event,round,heat,position,name,country,mark,status,date,location,members,observacion
Men,,HEAT,1.0,5.0,Luis Schneider Zuanich,Chile,11.01,,,"Caracas, Venezuela",,
Men,100 METRES,HEAT,2.0,8.0,Luis Schneider Zuanic h,Chile,10.75,,23 Aug,"Caracas, Venezuela",,
Men,100 METRES,HEAT,1.0,6.0,Luis Schneider Zuanich,Chile,21.28,,23 Aug,"Caracas, Venezuela",,
Men,"1,500 METRES",FINAL,,7.0,Omar Aguilar Cardenas,Chile,14:27.68,,26 Aug,"Caracas, Venezuela",,
Men,"10,000 METRES",FINAL,,7.0,Omar Aguilar Cardenas,Chile,29:54.27,,23 Aug,"Caracas, Venezuela",,
Men,"3,000 METRES STEEPLECHASE",FINAL,,1.0,Emilio Ulloa Valenzuela,Chile,8:57.62,,26 Aug,"Caracas, Venezuela",,
Men,LONG JUMP,,,6.0,Francisco Pichot,Chile,14.39m,,24 Aug,"Caracas, Venezuela",,
Men,SHOT PUT,,,2.0,Gert Weil Wiesenborn,Chile,17.30m,,23 Aug,"Caracas, Venezuela",,
Men,800 METRES,HEAT,1.0,4.0,Alejandra Ramos Sanchez,Chile,2:06.81,,23 Aug,"Caracas, Venezuela",,
Men,800 METRES,FINAL,,3.0,Alejandra Ramos San chez,Chile,2:03.65,,24 Aug,"Caracas, Venezuela",,
Men,800 METRES,FINAL,,4.0,Alejandr a Ramos Sanchez,Chile,4:25.59,,24 Aug,"Caracas, Venezuela",,
Men,800 METRES,FINAL,,6.0,Monica Regonesi Muranda,Chile,4:26.48,,24 Aug,"Caracas, Venezuela",,
Men,"3,000 METRES",FINAL,,3.0,Mónica Regon esi Mur anda,Chile,9:41.87,,25 Aug,"Caracas, Venezuela",,
