"Año","País de la Competencia ","Categoría ","Género","Nombre del Atleta (CHI)","Disciplina","Marca/Resultado","Puesto","Medalla"
"2023","Chile","Adultos","Damas","María Violeta Arnaiz ","400 m vallas"," 1:00.78s","5","N/A"
"2023","Chile","Adultos","Damas","María José Calfilaf","3000 m con obstáculos ","10:26.89s","11","N/A"
"2023","Chile","Adultos","Damas","Rocío Muñoz","Salto largo","6.23 (-0,2)","6","N/A"
"2023","Chile","Adultos","Damas","Ivana Gallardo","Lanzamiento de bala","15.30m","11","N/A"
"2023","Chile","Adultos","Damas","Natalia Ducó","Lanzamiento de bala","16.58m","7","N/A"
"2023","Chile","Adultos","Damas","Karen Gallardo","Lanzamiento de disco","55.36m","9","N/A"
"2023","Chile","Adultos","Damas","Catalina Bravo ","Lanzamiento de disco","47.97m","11","N/A"
"2023","Chile","Adultos","Damas","Mariana García Walker","Lanzamiento de martillo","62.74m","5","N/A"
"2023","Chile","Adultos","Damas","María Paz Ríos","Lanzamiento de jabalina ","48.43m","11","N/A"
"2023","Chile","Adultos","Damas","Anais Hernández, Martina Weil, Isidora Jiménez, María Ignacia Montt","4x100 m relevos","44.19s","2","Plata"
"2023","Chile","Adultos","Damas","Stephanie Saavedra, Berdine Castillo, María Fernanda Mackenna y Martina Weil","4x400 metros relevos ","3:37.00s","6","N/A"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
