Año,País de la Competencia ,Categoría,Nombre del Atleta (CHI),Disciplina,Fase,Marca/Resultado,Puesto,Medalla
2019,Perú,Femenino,Ivana Gallardo,Lanzamiento de disco,Clasificatorio,50.85m,12,N/A
2019,Perú,Femenino,Karen Gallardo,Lanzamiento de disco,Clasificatorio,53.42m,10,N/A
2019,Perú,Femenino,Maria Rios Lama,Lanzamiento de jabalina ,Clasificatorio,53.66m,10,N/A
2019,Perú,Femenino,Mariana García Walker,Lanzamiento de martillo,Clasificatorio,63.39m,9,N/A
2019,Perú,Femenino,Verónica Ángel,Maratón,Clasificatorio,2:46:04,11,N/A
2019,Perú,Femenino,Verónica Angel Mancilla,Maratón,Clasificatorio,2:46:04,11,N/A
2019,Perú,Femenino,Giselle Alvarez Rivera,Maratón,Clasificatorio,N/A,N/A,N/A
2019,Perú,Femenino,Macarena Reyes Meneses,Salto largo,Clasificatorio,6.14m (+0.6m),13,N/A
2023,Chile,Femenino,María Ignacia Montt,100m,Semifinal, 11.84s,5,N/A
2023,Chile,Femenino,Anaís Hernández ,100m,Semifinal,12.16s,7,N/A
2023,Chile,Femenino,María Ignacia Eguiguren,100m vallas,Semifinal ,14.07s,6,N/A
2023,Chile,Femenino,Giselle Alvarez Rivera,10000m,Final,34:01.07,7,N/A
2023,Chile,Femenino,Josefa Quezada,1500m,Final,4:18.92,8,N/A
2023,Chile,Femenino,Isidora Jiménez ,200m ,Semifinal,24.00s,4,N/A
2023,Chile,Femenino,María José Calfilaf,3000m con obstáculos ,Final,10:26.89 ,11,N/A
2023,Chile,Femenino,María Violeta Arnaiz ,400m vallas,Semifinal, 1:00.78,5,N/A
2023,Chile,Femenino,Martina Weil Restrepo,400m ,Semifinal,51.47s,1,N/A
2023,Chile,Femenino,Martina Weil Restrepo,400m ,Final,51.48s,1,Oro
2023,Chile,Femenino,Anaís Hernández ,4x100m relevos,Final,44.19s,2,Plata
2023,Chile,Femenino,Martina Weil,4x100m relevos,Final,44.19s,2,Plata
2023,Chile,Femenino,Isidora Jiménez,4x100m relevos,Final,44.19s,2,Plata
2023,Chile,Femenino,María Ignacia Montt,4x100m relevos,Final,44.19s,2,Plata
2023,Chile,Mixto,Poulette Cardoch,4x400m relevos,Final,3:28.77,7,N/A
2023,Chile,Mixto,Stephanie Saavedra,4x400m relevos,Final,3:28.77,7,N/A
2023,Chile,Femenino,Stephanie Saavedra,4x400m relevos,Final,3:37.00,6,N/A
2023,Chile,Femenino,Berdine Castillo,4x400m relevos,Final,3:37.00,6,N/A
2023,Chile,Femenino,Maria Fernanda Mackenna,4x400m relevos,Final,3:37.00,6,N/A
2023,Chile,Femenino,Martina Weil ,4x400m relevos,Final,3:37.00,6,N/A
2023,Chile,Femenino,Berdine Castillo,800m,Final,2:05.37,5,N/A
2023,Chile,Femenino,Berdine Castillo,800m ,Semifinal,2:07.03,4,N/A
2023,Chile,Femenino,Ivana Gallardo,Lanzamiento de bala,Final,15.30m,11,N/A
2023,Chile,Femenino,Natalia Ducó,Lanzamiento de bala,Final,16.58m,7,N/A
2023,Chile,Femenino,Catalina Bravo ,Lanzamiento de disco,Final,47.97m,11,N/A
2023,Chile,Femenino,Karen Gallardo,Lanzamiento de disco,Final,55.36m,9,N/A
2023,Chile,Femenino,María Paz Ríos,Lanzamiento de jabalina ,Final,48.43m,11,N/A
2023,Chile,Femenino,Mariana García Walker,Lanzamiento de martillo,Final,62.74m,5,N/A
2023,Chile,Femenino,Danica Kusanovic,Maratón,Final,2:42:31,10,N/A
2023,Chile,Femenino,Giselle Alvarez Rivera,Maratón,Final, 2:37:21,7,N/A
2023,Chile,Femenino,Rocío Muñoz,Salto largo,Final,"6.23 (-0,2)",5,N/A
